player, team, num, position, gp, pts, goals, ast, onePt, onePtPct, twoPt, twoPtPct, sh, shPct, sog, to, ct, gb, fo, foPct
Kieran McArdle,ATL,6,Attack,10,25,12,13,12-42,28.5%,0-1,0.0%,43,27.9%,31,18,0,5,0-0,0.0%
Jack Concannon,ATL,12,Goalie,10,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,3,1,12,0-0,0.0%
Kyle Hartzell,ATL,81,Defense,10,8,2,6,2-5,40.0%,0-9,0.0%,14,14.2%,7,7,6,16,1-2,50.0%
Pat Young,ATL,2,Midfield,1,0,0,0,0-1,0.0%,0-0,0.0%,1,0.0%,0,0,0,0,0-0,0.0%
Paul Rabil,ATL,99,Midfield,10,23,11,11,10-38,26.3%,1-9,11.1%,47,23.4%,27,17,2,8,0-0,0.0%
Ryan Brown,ATL,4,Attack,10,25,21,3,20-67,29.8%,1-14,7.1%,81,25.9%,46,10,2,8,0-0,0.0%
Scott Rodgers,ATL,42,Goalie,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Shack Stanwick,ATL,-,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Steven Brooks,ATL,44,Midfield,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Steven DeNapoli,ATL,7,Midfield,7,2,0,2,0-1,0.0%,0-0,0.0%,1,0.0%,0,1,1,6,0-0,0.0%
Tal Bruno,ATL,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Tim Semisch,ATL,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%
Trevor Baptiste,ATL,9,Faceoff,10,7,3,3,2-9,22.2%,1-6,16.6%,15,20.0%,4,10,3,73,164-261,62.8%
Tucker Durkin,ATL,51,Defense,10,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,2,18,0-0,0.0%
